name,playerID,teamID,year,HR,AB,mean_exit_velo,mean_launch_angle,launch_angle_75,launch_angle_70,launch_angle_65,exit_velo_75,exit_velo_80,exit_velo_85,BPF
Jed Lowrie,lowrije01,OAK,2018,23,596,88.94916317991633,17.200836820083683,34,30,27.05000000000001,97.77499999999999,98.8,100.04499999999999,98
Trey Mancini,mancitr01,BAL,2018,24,582,89.89792626728111,5.389400921658983,22.75,19,15,101.2,102.84,104.4,96
Nick Markakis,markani01,ATL,2018,14,623,90.54804270462634,10.16370106761566,25,22,19,98.9,100,101.585,100
Starling Marte,martest01,PIT,2018,20,559,88.14269662921349,9.092342342342345,26,23,21,98.9,100.32,102.24,96
J. D. Martinez,martijd02,BOS,2018,43,569,92.81787234042554,10.514893617021272,26,23,21,103.37500000000001,104.82,106.065,104
Whit Merrifield,merriwh01,KCA,2018,12,632,86.68511450381679,16.833652007648176,32,28,25,96.8,97.9,98.8,99
Yoan Moncada,moncayo01,CHA,2018,17,578,90.9535519125683,15.125683060109294,32,28,24,100.3,101.6,103.4,97
Matt Olson,olsonma02,OAK,2018,29,580,93.15579196217494,17.723404255319153,34.5,31,28,103.25,104.76,106.37,98
Marcell Ozuna,ozunama01,SLN,2018,23,582,91.46063157894737,10.833684210526318,29,24.799999999999955,21,102.9,104.2,106.49,97
David Peralta,peralda01,ARI,2018,30,560,91.61952277657267,6.70065075921909,24,20,17,102.6,104,105.7,108
Jose Peraza,perazjo01,CIN,2018,14,632,85.0665474060823,14.760286225402494,30.5,28,24,94.44999999999999,96.64,98.83,103
Jose Ramirez,ramirjo01,CLE,2018,39,578,88.91232604373758,18.984095427435395,36,32,28,97.95,99.1,100.9,104
Anthony Rizzo,rizzoan01,CHN,2018,25,566,90.03561368209256,14.55533199195171,32,28,24,100.3,101.6,103.1,107
Amed Rosario,rosaram01,NYN,2018,9,554,87.71067285382831,7.682134570765661,25,21,17,97.1,98.9,100.2,90
Eddie Rosario,rosared01,MIN,2018,24,559,87.71547085201794,17.83632286995516,36.75,33,29,97.65,98.9,100,102
Carlos Sanchez,sanchca01,CHA,2018,8,600,86.50672451193059,9.36659436008677,25,21,18,96,97.5,99.3,97
Carlos Santana,santaca01,PHI,2018,24,560,88.91535181236674,15.36247334754798,36,31,27,100.4,101.84,103.48,102
Kyle Seager,seageky01,SEA,2018,22,583,89.85122494432072,18.532293986636972,35,32,29,98.6,100.03999999999999,101.18,94
Jean Segura,segurje01,SEA,2018,10,586,87.49347408829175,7.859615384615387,26,21,18,97.2,98.7,100.9,94
Marcus Semien,semiema01,OAK,2018,15,632,86.86400778210117,15.285992217898825,32.75,29,26,97,98.24000000000001,99.805,98
Andrelton Simmons,simmoan01,LAA,2018,11,554,87.98060836501901,7.935361216730044,25.75,21,18,98.2,99.7,101.12499999999999,97
Giancarlo Stanton,stantmi03,NYA,2018,38,617,93.80839160839162,11.33100233100233,30,26,22,107.3,109.2,110.98,104
Trevor Story,storytr01,COL,2018,37,598,91.12489177489178,16.18181818181818,33,29,26,102.8,104.18,105.685,117
Trea Turner,turnetr01,WAS,2018,19,664,88.64049429657796,9.121673003802282,27,22,19,99.8,101.2,102.55,106
Christian Yelich,yelicch01,MIL,2018,36,574,92.0703781512605,4.768907563025211,21.25,17,15,103.4,105.1,106.4,102
Jose Abreu,abreujo02,CHA,2019,33,634,92.12945891783568,10.97995991983968,26,22,18,103,104.3,106,97
Ronald Acuna,acunaro01,ATL,2019,41,626,90.65087719298246,14.048245614035089,30,28,26,103.525,104.9,106.67500000000001,105
Nick Ahmed,ahmedni01,ARI,2019,19,556,87.91923890063426,7.596194503171241,27,23.399999999999977,20,97.7,98.86,100.6,101
Ozzie Albies,albieoz01,ATL,2019,24,640,88.93833634719711,15.783001808318266,33,29,24,98.2,99.6,100.9,105
Pete Alonso,alonspe01,NYN,2019,53,597,90.67184466019418,14.788834951456314,31,28,24,104.35,106.3,108.1,92
Elvis Andrus,andruel01,TEX,2019,12,600,88.41957364341086,7.277131782945741,24,20,17,97.72500000000001,99.3,101,111
Nolan Arenado,arenano01,COL,2019,41,588,89.53757115749526,17.9449715370019,34,31,27,99.19999999999999,100.8,102.41,118
Cody Bellinger,bellico01,LAN,2019,47,558,91.1042372881356,17.476694915254225,34,30,27,101.7,102.78,104.3,96
Mookie Betts,bettsmo01,BOS,2019,29,597,91.03032128514056,19.248995983935743,35,31.899999999999977,28,100,101.6,103.1,105
Charlie Blackmon,blackch02,COL,2019,32,580,88.4844930417495,14.443339960238564,31.5,28,25,99.6,100.86,102.57,118
Xander Bogaerts,bogaexa01,BOS,2019,33,614,90.65784114052953,13.354378818737269,30,27,24,100.2,102,104.15,105
Michael Brantley,brantmi02,HOU,2019,22,575,88.92103386809269,10.570409982174672,27,23,19,99.1,100.5,101.6,103
Alex Bregman,bregmal01,HOU,2019,41,554,89.39158699808796,19.219885277246657,37,32.39999999999998,29,98.55,99.9,101.2,103
Lorenzo Cain,cainlo01,MIL,2019,11,562,89.43274725274725,6.756043956043958,21,18.799999999999955,15,99.95,101.9,103,101
Kole Calhoun,calhoko01,LAA,2019,33,552,89.31313131313131,14.436868686868674,32.25,29,24.75,99.525,101.1,102.77499999999999,98
Starlin Castro,castrst01,MIA,2019,22,636,88.54803001876172,10.971857410881805,29,25,21,99.3,100.7,102.22,94
Matt Chapman,chapmma01,OAK,2019,36,583,92.61731207289294,16.503416856492027,38,33,27,103.8,105.64,106.73,95
Shin-Soo Choo,choosh01,TEX,2019,24,563,91.56967418546365,8.922305764411032,26,20.599999999999966,16,101.80000000000001,103.2,104.83,111
Paul DeJong,dejonpa01,SLN,2019,30,583,87.16375838926174,18.579418344519016,35.5,31,28,98.2,99.9,101.8,98
Rafael Devers,deverra01,BOS,2019,32,647,92.3101923076923,10.257692307692306,28,23.299999999999955,20,103.525,104.7,106.615,105
Adam Eaton,eatonad02,WAS,2019,15,566,87.97607843137256,14.821568627450985,32,27.299999999999955,24,98.67500000000001,99.82,101.565,106
Eduardo Escobar,escobed01,ARI,2019,35,636,87.68283582089552,18.145522388059703,34,31.5,29,96.42500000000001,98.2,99.7,101
David Fletcher,fletcda02,LAA,2019,6,596,83.76629213483146,9.66666666666667,25,22,19,92.7,94.08000000000001,95.8,98
Adam Frazier,fraziad01,PIT,2019,10,554,86.85657620041754,12.830897703549061,29,25.599999999999966,22,95.65,96.84,98.93,96
Freddie Freeman,freemfr01,ATL,2019,38,597,89.73121149897331,14.117043121149903,30.5,26,23.900000000000034,100.1,101.8,103.1,105
Leury Garcia,garcile02,CHA,2019,8,577,87.38966292134832,5.566292134831461,22,18,15,97.2,98.61999999999999,99.74,97
Paul Goldschmidt,goldspa01,SLN,2019,34,597,90.05802197802198,15.61758241758242,33,29,27,100.80000000000001,102.6,104.37,98
Alex Gordon,gordoal01,KCA,2019,13,556,88.57673913043479,9.14565217391304,27,23,20,98.62499999999999,99.61999999999999,100.915,101
Yuli Gurriel,gourryu01,HOU,2019,31,564,89.41554770318021,14.153710247349828,31,27,23,99.1,100.8,101.92500000000001,103
Randal Grichuk,grichra01,TOR,2019,31,586,89.28231132075472,16.042452830188687,36,31,27,101.42500000000001,102.48,103.855,97
Bryce Harper,harpebr03,PHI,2019,35,573,91.8146835443038,13.605063291139244,30.5,27,24,102.65,104.84,106.79,102
Cesar Hernandez,hernace02,PHI,2019,14,612,85.92787524366472,9.499025341130597,27,23,19,96.3,97.7,99.72,102
Rhys Hoskins,hoskirh01,PHI,2019,29,570,89.72679900744417,23.997518610421846,41,37,35,99.25,100.4,102.1,102
Eric Hosmer,hosmeer01,SDN,2019,22,619,90.5093023255814,2.033826638477799,20,16,13,102,103.4,105.32,95
DJ LeMahieu,lemahdj01,NYA,2019,26,602,91.9190036900369,6.981549815498152,23,19,16,100.9,102.58,103.9,98
Francisco Lindor,lindofr01,CLE,2019,32,598,90.73928571428571,11.990079365079364,31,28,23,101.525,102.6,103.855,104
Manny Machado,machama01,SDN,2019,32,587,91.22860169491526,13.027542372881344,31.25,28,24,102.025,103.8,105.735,95
Trey Mancini,mancitr01,BAL,2019,35,602,90.29073275862069,7.795258620689658,24,22,19,101.72500000000001,103.2,104.8,99
Ketel Marte,marteke01,ARI,2019,32,569,89.87712031558186,11.36489151873767,28,24,21,101.05,102.8,104.31,101
J. D. Martinez,martijd02,BOS,2019,36,575,91.31059907834101,12.470046082949317,27,24.099999999999966,22,102.3,103.7,104.705,105
Whit Merrifield,merriwh01,KCA,2019,16,681,86.65143369175627,15.528673835125444,30,26,23,95.8,96.96000000000001,98.8,101
Tommy Pham,phamth01,TBA,2019,21,567,90.81293103448276,5.2516129032258085,24,19,15,101.95000000000002,103.4,104.95500000000001,97
Kevin Pillar,pillake01,SFN,2019,21,595,85.97878787878788,13.901515151515154,31,27,22,98,99.8,101.7,94
